iter	Passed	Remaining
400	29905	63911
401	29976	63831
402	30046	63745
403	30116	63662
404	30184	63574
405	30253	63487
406	30321	63399
407	30388	63309
408	30455	63219
409	30516	63116
410	30584	63029
411	30648	62933
412	30716	62845
413	30783	62756
414	30843	62652
415	30909	62561
416	30978	62476
417	31045	62388
418	31113	62301
419	31178	62207
420	31258	62146
421	31335	62076
422	31409	62001
423	31483	61926
424	31554	61847
425	31625	61765
426	31705	61702
427	31778	61625
428	31850	61548
429	31912	61449
430	31981	61365
431	32045	61271
432	32111	61183
433	32176	61091
434	32246	61008
435	32309	60912
436	32377	60827
437	32447	60747
438	32509	60650
439	32572	60555
440	32636	60462
441	32702	60374
442	32764	60278
443	32828	60184
444	32895	60098
445	32970	60027
446	33040	59946
447	33107	59860
448	33184	59791
449	33261	59723
450	33338	59655
451	33409	59575
452	33478	59493
453	33544	59404
454	33610	59317
455	33686	59247
456	33758	59170
457	33822	59078
458	33888	58991
459	33950	58896
460	34013	58803
461	34074	58707
462	34143	58625
463	34205	58532
464	34275	58452
465	34344	58370
466	34411	58285
467	34476	58197
468	34543	58112
469	34612	58031
470	34682	57951
471	34754	57874
472	34829	57803
473	34900	57725
474	34984	57669
475	35076	57625
476	35159	57566
477	35235	57497
478	35322	57445
479	35405	57385
480	35478	57311
481	35558	57247
482	35630	57171
483	35714	57114
484	35801	57060
485	35878	56992
486	35959	56929
487	36030	56851
488	36099	56769
489	36173	56696
490	36247	56622
491	36326	56556
492	36414	56505
493	36492	56437
494	36570	56370
495	36655	56313
496	36736	56250
497	36813	56180
498	36883	56100
499	36958	56028
500	37035	55959
501	37117	55898
502	37193	55826
503	37263	55747
504	37337	55673
505	37413	55602
506	37499	55546
507	37586	55491
508	37670	55432
509	37751	55368
510	37825	55294
511	37906	55231
512	37991	55172
513	38069	55104
514	38149	55038
515	38227	54970
516	38309	54907
517	38393	54848
518	38472	54780
519	38548	54709
520	38627	54642
521	38705	54572
522	38781	54502
523	38855	54427
524	38932	54357
525	39008	54285
526	39086	54217
527	39167	54152
528	39247	54085
529	39325	54016
530	39405	53950
531	39485	53883
532	39570	53824
533	39652	53761
534	39726	53686
535	39795	53605
536	39871	53533
537	39953	53469
538	40024	53390
539	40099	53318
540	40169	53237
541	40239	53158
542	40318	53089
543	40401	53027
544	40482	52961
545	40559	52891
546	40630	52811
547	40696	52726
548	40760	52640
549	40837	52569
550	40915	52499
551	40985	52419
552	41055	52339
553	41125	52260
554	41195	52180
555	41264	52100
556	41337	52024
557	41417	51957
558	41492	51883
559	41566	51810
560	41649	51746
561	41730	51680
562	41803	51605
563	41867	51517
564	41933	51434
565	42003	51354
566	42066	51266
567	42130	51179
568	42197	51097
569	42264	51014
570	42331	50931
571	42398	50848
572	42462	50762
573	42530	50680
574	42595	50595
575	42663	50515
576	42734	50436
577	42801	50354
578	42873	50278
579	42949	50207
580	43028	50137
581	43108	50071
582	43185	49999
583	43260	49927
584	43337	49856
585	43414	49785
586	43488	49712
587	43550	49624
588	43616	49541
589	43694	49470
590	43761	49389
591	43834	49313
592	43898	49228
593	43965	49146
594	44028	49060
595	44094	48977
596	44161	48896
597	44229	48814
598	44296	48733
599	44369	48658
600	44433	48573
601	44495	48486
602	44566	48409
603	44640	48335
604	44711	48259
605	44784	48184
606	44859	48110
607	44928	48031
608	45003	47958
609	45080	47889
610	45152	47812
611	45221	47733
612	45288	47652
613	45363	47580
614	45432	47501
615	45503	47423
616	45572	47345
617	45640	47265
618	45709	47186
619	45780	47109
620	45849	47030
621	45916	46949
622	45981	46866
623	46048	46786
624	46113	46703
625	46185	46628
626	46255	46550
627	46324	46471
628	46396	46396
629	46470	46322
630	46537	46242
631	46606	46164
632	46680	46091
633	46755	46017
634	46822	45937
635	46892	45860
636	46961	45782
637	47027	45701
638	47100	45626
639	47167	45546
640	47234	45465
641	47300	45385
642	47367	45305
643	47436	45226
644	47502	45145
645	47571	45067
646	47641	44990
647	47710	44912
648	47776	44831
649	47850	44759
650	47925	44685
651	47990	44604
652	48059	44526
653	48126	44446
654	48196	44370
655	48273	44299
656	48349	44228
657	48428	44159
658	48497	44081
659	48560	43998
660	48627	43919
661	48696	43841
662	48757	43756
663	48816	43669
664	48884	43591
665	48952	43513
666	49021	43436
667	49085	43354
668	49156	43278
669	49227	43202
670	49299	43127
671	49367	43049
672	49431	42967
673	49496	42886
674	49569	42813
675	49646	42743
676	49717	42667
677	49787	42590
678	49853	42511
679	49929	42439
680	50002	42366
681	50077	42294
682	50148	42219
683	50213	42138
684	50276	42055
685	50344	41978
686	50410	41898
687	50474	41817
688	50539	41737
689	50607	41659
690	50671	41578
691	50735	41497
692	50804	41420
693	50867	41339
694	50950	41273
695	51033	41207
696	51111	41138
697	51187	41067
698	51275	41005
699	51362	40943
700	51446	40878
701	51524	40808
702	51616	40750
703	51705	40688
704	51791	40624
705	51861	40549
706	51944	40482
707	52017	40408
708	52083	40329
709	52156	40255
710	52231	40184
711	52307	40111
712	52384	40041
713	52459	39969
714	52530	39893
715	52601	39818
716	52678	39747
717	52751	39673
718	52822	39598
719	52906	39533
720	52995	39471
721	53078	39404
722	53160	39337
723	53245	39272
724	53334	39210
725	53416	39142
726	53496	39073
727	53573	39002
728	53657	38936
729	53731	38863
730	53811	38794
731	53890	38724
732	53968	38653
733	54045	38582
734	54126	38514
735	54211	38448
736	54282	38373
737	54362	38304
738	54433	38228
739	54508	38156
740	54591	38089
741	54674	38021
742	54758	37955
743	54839	37886
744	54920	37817
745	55008	37754
746	55090	37686
747	55180	37623
748	55258	37552
749	55334	37480
750	55412	37408
751	55482	37332
752	55560	37261
753	55642	37193
754	55715	37118
755	55788	37044
756	55854	36966
757	55914	36883
758	55978	36802
759	56047	36725
760	56116	36649
761	56185	36571
762	56261	36499
763	56347	36434
764	56433	36367
765	56509	36296
766	56594	36229
767	56675	36160
768	56748	36086
769	56821	36011
770	56901	35941
771	56967	35863
772	57036	35786
773	57106	35710
774	57182	35637
775	57248	35558
776	57320	35483
777	57384	35404
778	57450	35325
779	57511	35244
780	57579	35167
781	57646	35089
782	57715	35012
783	57781	34934
784	57846	34855
785	57917	34779
786	57990	34705
787	58061	34630
788	58128	34552
789	58195	34475
790	58267	34400
791	58339	34325
792	58409	34250
793	58472	34170
794	58537	34091
795	58602	34013
796	58666	33933
797	58730	33854
798	58802	33780
799	58871	33704
800	58939	33627
801	59008	33551
802	59073	33472
803	59142	33396
804	59216	33322
805	59288	33248
806	59357	33172
807	59433	33100
808	59503	33024
809	59575	32950
810	59652	32878
811	59728	32806
812	59799	32731
813	59869	32656
814	59941	32581
815	60013	32507
816	60080	32430
817	60143	32350
818	60215	32276
819	60276	32196
820	60337	32116
821	60403	32038
822	60469	31961
823	60534	31883
824	60602	31806
825	60669	31730
826	60733	31652
827	60797	31573
828	60865	31497
829	60935	31422
830	61006	31347
831	61074	31271
832	61142	31195
833	61216	31121
834	61293	31050
835	61370	30978
836	61450	30908
837	61528	30837
838	61608	30767
839	61686	30696
840	61754	30620
841	61820	30543
842	61884	30464
843	61952	30389
844	62018	30311
845	62080	30233
846	62142	30154
847	62211	30078
848	62278	30002
849	62341	29923
850	62405	29846
851	62471	29769
852	62531	29689
853	62595	29611
854	62662	29535
855	62728	29459
856	62793	29381
857	62868	29309
858	62943	29236
859	63013	29162
860	63087	29089
861	63160	29015
862	63235	28943
863	63315	28873
864	63387	28799
865	63459	28725
866	63530	28650
867	63599	28575
868	63665	28499
869	63739	28426
870	63806	28350
871	63875	28275
872	63941	28198
873	64001	28119
874	64064	28042
875	64129	27965
876	64192	27887
877	64255	27810
878	64327	27736
879	64389	27658
880	64453	27581
881	64523	27506
882	64591	27431
883	64657	27355
884	64723	27279
885	64791	27203
886	64863	27129
887	64940	27058
888	65009	26983
889	65079	26909
890	65148	26834
891	65211	26757
892	65283	26683
893	65351	26608
894	65422	26534
895	65485	26457
896	65554	26382
897	65629	26310
898	65695	26234
899	65767	26160
900	65839	26087
901	65904	26010
902	65963	25932
903	66024	25854
904	66088	25778
905	66155	25702
906	66222	25627
907	66294	25554
908	66369	25481
909	66437	25406
910	66503	25331
911	66574	25257
912	66653	25186
913	66717	25110
914	66787	25036
915	66852	24960
916	66934	24890
917	67018	24821
918	67091	24748
919	67170	24678
920	67246	24605
921	67325	24535
922	67407	24465
923	67496	24397
924	67595	24334
925	67672	24262
926	67751	24191
927	67839	24123
928	67919	24053
929	67994	23980
930	68072	23909
931	68156	23840
932	68232	23767
933	68313	23697
934	68390	23625
935	68459	23551
936	68531	23477
937	68612	23407
938	68682	23333
939	68756	23260
940	68832	23187
941	68907	23115
942	68978	23041
943	69055	22969
944	69128	22896
945	69204	22824
946	69281	22752
947	69360	22681
948	69430	22606
949	69514	22537
950	69603	22469
951	69690	22400
952	69771	22329
953	69852	22259
954	69930	22187
955	70011	22116
956	70093	22046
957	70174	21975
958	70245	21901
959	70315	21827
960	70401	21757
961	70477	21685
962	70544	21610
963	70613	21535
964	70686	21462
965	70758	21388
966	70834	21316
967	70906	21242
968	70985	21171
969	71069	21101
970	71151	21030
971	71235	20960
972	71322	20890
973	71400	20819
974	71478	20747
975	71570	20679
976	71659	20610
977	71730	20536
978	71806	20463
979	71879	20390
980	71955	20317
981	72030	20244
982	72101	20170
983	72184	20100
984	72282	20033
985	72367	19963
986	72459	19895
987	72535	19822
988	72615	19750
989	72679	19674
990	72752	19601
991	72840	19531
992	72917	19459
993	72998	19387
994	73081	19316
995	73157	19244
996	73237	19172
997	73326	19103
998	73414	19033
999	73490	18960
1000	73575	18889
1001	73649	18816
1002	73732	18745
1003	73814	18674
1004	73891	18601
1005	73968	18528
1006	74058	18459
1007	74138	18387
1008	74216	18315
1009	74298	18243
1010	74369	18169
1011	74432	18093
1012	74502	18018
1013	74575	17945
1014	74643	17870
1015	74713	17795
1016	74778	17720
1017	74848	17645
1018	74927	17573
1019	75003	17500
1020	75076	17427
1021	75146	17352
1022	75215	17278
1023	75291	17205
1024	75359	17130
1025	75428	17055
1026	75492	16980
1027	75563	16906
1028	75629	16831
1029	75703	16757
1030	75777	16684
1031	75842	16608
1032	75906	16533
1033	75975	16458
1034	76039	16383
1035	76106	16308
1036	76171	16233
1037	76245	16159
1038	76325	16087
1039	76392	16012
1040	76467	15939
1041	76540	15866
1042	76612	15792
1043	76684	15718
1044	76751	15644
