iter	Logloss
0	0.6236567052
1	0.5658322221
2	0.5048403585
3	0.464826823
4	0.4246954993
5	0.3970486515
6	0.3681621565
7	0.3453296408
8	0.3259396077
9	0.3097789935
10	0.2965534654
11	0.2856869329
12	0.2765018303
13	0.2688495291
14	0.2621977464
15	0.2564838093
16	0.251660391
17	0.2474054378
18	0.2436182595
19	0.2404121285
20	0.2377530247
21	0.23547086
22	0.2331944391
23	0.2311047207
24	0.2292731957
25	0.2276938692
26	0.2261544079
27	0.2247816151
28	0.2235440147
29	0.2224136759
30	0.2214566261
31	0.2205501801
32	0.2197303798
33	0.218943751
34	0.218189097
35	0.2175967345
36	0.2171075552
37	0.2165324359
38	0.2160002921
39	0.2155452045
40	0.2151170336
41	0.2147062914
42	0.2144002394
43	0.2140856435
44	0.2137888932
45	0.2135064473
46	0.2132688793
47	0.2129773631
48	0.2127865524
49	0.2125770686
50	0.2124189593
51	0.2122496002
52	0.2120505273
53	0.2118698881
54	0.2116864933
55	0.2115260397
56	0.2113705207
57	0.2112096767
58	0.211089151
59	0.2109836512
60	0.2108534242
61	0.2107657802
62	0.2106732252
63	0.2105743369
64	0.2104844839
65	0.2104051812
66	0.2103009752
67	0.2101837321
68	0.2100947132
69	0.2100213912
70	0.2099494732
71	0.2098994412
72	0.209845874
73	0.2097823416
74	0.2097357556
75	0.2096999145
76	0.2096403419
77	0.2095951017
78	0.2095516921
79	0.209511671
80	0.2094715238
81	0.2094339689
82	0.2093992478
83	0.2093604398
84	0.2092822839
85	0.2092524887
86	0.2092255668
87	0.2091976998
88	0.2091509089
89	0.2091121246
90	0.2090719323
91	0.2090394695
92	0.2090181459
93	0.2089979751
94	0.208978754
95	0.2089457349
96	0.2089199084
97	0.2088936641
98	0.20886396
99	0.2088412292
100	0.2088241957
101	0.2087896703
102	0.2087765057
103	0.2087623937
104	0.2087305099
105	0.2086916833
106	0.2086753121
107	0.2086414219
108	0.2086140882
109	0.2085948442
110	0.2085785614
111	0.2085543614
112	0.2085402421
113	0.2085280589
114	0.2084950794
115	0.2084631247
116	0.2084536707
117	0.208433768
118	0.208407448
119	0.2083717533
120	0.2083458717
121	0.208339684
122	0.208305367
123	0.2082935445
124	0.2082693194
125	0.2082507937
126	0.2082399719
127	0.2082269213
128	0.2082086261
129	0.20819032
130	0.2081799121
131	0.2081634049
132	0.2081539649
133	0.2081418344
134	0.2081182268
135	0.2081078146
136	0.2081063023
137	0.2080866413
138	0.2080725703
139	0.2080480876
140	0.2080380311
141	0.2080209184
142	0.2080062919
143	0.2079860293
144	0.207968349
145	0.20794674
146	0.2079350552
147	0.2079212414
148	0.2079126337
149	0.2078893209
150	0.2078568172
151	0.2078447727
152	0.2078322797
153	0.2078201702
154	0.2078115745
155	0.2078017441
156	0.2077919887
157	0.2077770828
158	0.2077573897
159	0.2077487001
160	0.2077407095
161	0.207726235
162	0.2077149673
163	0.207706673
164	0.2076962855
165	0.2076845373
166	0.2076760706
167	0.207660084
168	0.2076511705
169	0.2076445495
170	0.2076352916
171	0.207621902
172	0.2076070704
173	0.2075950982
174	0.207581969
175	0.2075685084
176	0.2075544405
177	0.207545224
178	0.207531838
179	0.2075247934
180	0.2075173332
181	0.2075073263
182	0.2074914834
183	0.2074841909
184	0.2074703013
185	0.2074583431
186	0.2074478433
187	0.2074389532
188	0.2074236661
189	0.2074107304
190	0.2073987031
191	0.2073905503
192	0.2073780616
193	0.2073675054
194	0.2073589572
195	0.2073457709
196	0.2073386032
197	0.2073113857
198	0.2073036714
199	0.2072913937
200	0.20728132
201	0.2072653563
202	0.2072562971
203	0.2072459797
204	0.2072398158
205	0.2072264818
206	0.2072167459
207	0.2072057624
208	0.2071973407
209	0.2071902934
210	0.2071821315
211	0.2071752336
212	0.2071683355
213	0.2071573777
214	0.2071513019
215	0.2071416633
216	0.2071336462
217	0.2071233525
218	0.2071145926
219	0.2071011244
220	0.2070900958
221	0.2070833621
222	0.2070745
223	0.2070696309
224	0.2070616199
225	0.2070519433
226	0.2070362691
227	0.2070282531
228	0.2070249743
229	0.2070096325
230	0.207000134
231	0.206991855
232	0.2069850166
233	0.2069811503
234	0.2069750418
235	0.2069657736
236	0.2069540151
237	0.2069425615
238	0.2069292424
239	0.2069248166
240	0.206918853
241	0.2069109335
242	0.2069049349
243	0.2068955663
244	0.2068878558
245	0.2068803129
246	0.2068733526
247	0.2068690478
248	0.2068559109
249	0.2068451144
250	0.2068368556
251	0.2068299164
252	0.2068235759
253	0.2068160324
254	0.206810847
255	0.2068015245
256	0.2067937087
257	0.2067853696
258	0.2067732167
259	0.2067679335
260	0.2067627842
261	0.2067527973
262	0.2067420105
263	0.206727216
264	0.2067192399
265	0.2067119739
266	0.2067045631
267	0.2066992738
268	0.2066919167
269	0.2066824257
270	0.2066686396
271	0.2066634677
272	0.2066544458
273	0.2066490709
274	0.2066411328
275	0.2066332206
276	0.2066246769
277	0.2066159645
278	0.2066101915
279	0.2066010142
280	0.2065938285
281	0.2065852673
282	0.2065745544
283	0.2065683643
284	0.2065641497
285	0.2065593902
286	0.2065539155
287	0.2065483393
288	0.2065377286
289	0.2065307918
290	0.2065256818
291	0.2065202202
292	0.2065131055
293	0.2065038963
294	0.2064962345
295	0.2064843744
296	0.2064778001
297	0.2064655643
298	0.2064569306
299	0.2064485233
300	0.2064392697
301	0.2064295001
302	0.2064252155
303	0.2064180921
304	0.2064115885
305	0.2064045014
306	0.20639763
307	0.2063840579
308	0.2063752317
309	0.2063687664
310	0.2063613998
311	0.2063514997
312	0.2063439877
313	0.2063382773
314	0.2063279139
315	0.2063193536
316	0.206313544
317	0.2063094116
318	0.2063021103
319	0.2062980629
320	0.2062920874
321	0.2062849259
322	0.2062782243
323	0.2062711179
324	0.206263112
325	0.2062527725
326	0.2062425496
327	0.2062370315
328	0.2062310279
329	0.2062216025
330	0.2062127909
331	0.2062052896
332	0.2061967588
333	0.2061845548
334	0.2061776417
335	0.2061711502
336	0.2061642513
337	0.2061555852
338	0.2061497837
339	0.206144272
340	0.2061367818
341	0.2061297603
342	0.206123035
343	0.2061198113
344	0.2061084583
345	0.2060996648
346	0.2060952149
347	0.206087506
348	0.2060813074
349	0.2060752855
350	0.2060676123
351	0.2060617952
352	0.2060533271
353	0.2060463618
354	0.206039762
355	0.2060315028
356	0.2060230304
357	0.2060174705
358	0.2060095146
359	0.2060022768
360	0.2059940893
361	0.2059861102
362	0.2059803572
363	0.2059723459
364	0.205966199
365	0.2059585304
366	0.2059534399
367	0.2059449125
368	0.2059393095
369	0.205931521
370	0.2059265451
371	0.2059195417
372	0.2059116933
373	0.2059050397
374	0.2058980443
375	0.2058906228
376	0.2058813182
377	0.2058708623
378	0.2058644332
379	0.2058584154
380	0.2058482456
381	0.2058408459
382	0.2058336003
383	0.205826713
384	0.20582009
385	0.2058146536
386	0.205806093
387	0.2057959919
388	0.2057893934
389	0.2057824129
390	0.2057758331
391	0.2057673563
392	0.2057615336
393	0.205754469
394	0.2057466197
395	0.2057414725
396	0.2057329615
397	0.2057215419
398	0.2057149003
399	0.2057073999
400	0.2056979012
401	0.2056891563
402	0.2056806788
403	0.2056742819
404	0.2056690096
405	0.2056585816
406	0.2056478555
407	0.2056415384
408	0.2056359781
409	0.2056335064
410	0.2056273283
411	0.2056214616
412	0.2056151144
413	0.2056061418
414	0.2056022901
415	0.2055955571
416	0.2055878745
417	0.2055819284
418	0.2055766226
419	0.2055711988
420	0.2055616492
421	0.2055518548
422	0.2055463496
423	0.2055410974
424	0.2055349194
425	0.2055313728
426	0.2055263909
427	0.2055210458
428	0.2055153811
429	0.2055094917
430	0.2055014521
431	0.2054946357
432	0.2054888281
433	0.2054830444
434	0.205477177
435	0.2054723242
436	0.2054651783
437	0.2054606119
438	0.2054574763
439	0.2054512214
440	0.2054462555
441	0.2054406501
442	0.2054350393
443	0.2054293177
444	0.2054240798
445	0.2054151975
446	0.2054122128
447	0.2054036933
448	0.2053968752
449	0.2053911291
450	0.205384746
451	0.2053800652
452	0.2053769926
453	0.2053710025
454	0.2053654909
455	0.2053610801
456	0.2053540899
457	0.2053456226
458	0.2053363268
459	0.2053306083
460	0.2053265624
461	0.2053208298
462	0.2053148019
463	0.2053089375
464	0.2053027756
465	0.2052971743
466	0.2052911194
467	0.2052854168
468	0.2052788358
469	0.2052705174
470	0.2052630719
471	0.2052569512
472	0.2052489541
473	0.2052408442
474	0.2052367612
475	0.2052309081
476	0.2052230678
477	0.2052162017
478	0.2052120623
479	0.2052074806
480	0.2052019874
481	0.2051947237
482	0.2051924474
483	0.2051865794
484	0.2051787581
485	0.2051726226
486	0.2051646457
487	0.2051562272
488	0.2051504582
489	0.2051464276
490	0.2051410254
491	0.2051350213
492	0.2051286505
493	0.2051220534
494	0.2051145529
495	0.2051060289
496	0.2050967381
497	0.2050901853
498	0.2050840592
499	0.2050783157
500	0.2050738747
501	0.205067593
502	0.2050628114
503	0.2050593571
504	0.2050518694
505	0.2050477085
506	0.2050414078
507	0.2050346155
508	0.205029551
509	0.2050231797
510	0.2050206856
511	0.2050130641
512	0.2050048544
513	0.2049993562
514	0.2049962292
515	0.204990504
516	0.2049852889
517	0.2049771075
518	0.2049716646
519	0.2049657113
520	0.2049587554
521	0.2049517269
522	0.2049464831
523	0.2049420236
524	0.2049356753
525	0.2049317336
526	0.2049252814
527	0.2049184519
528	0.2049111856
529	0.2049046625
530	0.2048981398
531	0.2048921575
532	0.2048875737
533	0.204881875
534	0.2048769904
535	0.2048738147
536	0.2048673711
537	0.2048619197
538	0.2048558458
539	0.2048477602
540	0.2048425345
541	0.2048397257
542	0.2048336006
543	0.2048266584
544	0.2048176745
545	0.2048132945
546	0.2048090497
547	0.2048015986
548	0.2047944317
549	0.2047886487
550	0.2047838392
551	0.2047779431
552	0.2047706703
553	0.204764092
554	0.2047585749
555	0.2047554398
556	0.2047495252
557	0.2047435795
558	0.204737089
559	0.2047311957
560	0.2047257255
561	0.2047164892
562	0.2047078396
563	0.2047052537
564	0.2046996711
565	0.2046946459
566	0.2046902175
567	0.2046853491
568	0.2046776041
569	0.2046710441
570	0.2046645057
571	0.2046598417
572	0.2046561169
573	0.2046483343
574	0.2046414237
575	0.2046389375
576	0.2046319794
577	0.2046239153
578	0.2046157728
579	0.2046068576
580	0.2046021864
581	0.204597371
582	0.2045902649
583	0.2045827838
584	0.2045774109
585	0.2045720072
586	0.2045661533
587	0.2045656568
588	0.2045598929
589	0.2045552219
590	0.2045499187
591	0.2045415539
592	0.2045369312
593	0.2045267627
594	0.2045200808
595	0.2045148446
596	0.20450649
597	0.20449887
598	0.2044938014
599	0.2044877531
600	0.2044818671
601	0.2044795746
602	0.2044707898
603	0.204466204
604	0.2044599804
605	0.2044534119
606	0.2044465612
607	0.2044442991
608	0.2044386218
609	0.2044333579
610	0.2044271273
611	0.2044226334
612	0.2044177713
613	0.2044104269
614	0.2044030049
615	0.2043947906
616	0.2043900943
617	0.2043868197
618	0.2043806641
619	0.2043755731
620	0.2043732818
621	0.204368297
622	0.2043633156
623	0.2043572183
624	0.204351061
625	0.2043437724
626	0.204338613
627	0.2043338376
628	0.2043248864
629	0.2043202186
630	0.2043112072
631	0.2043060062
632	0.2043010518
633	0.204296792
634	0.2042910462
635	0.2042838556
636	0.2042786021
637	0.2042757241
638	0.2042671721
639	0.2042622311
640	0.2042551929
641	0.2042519366
642	0.2042457579
643	0.2042412446
644	0.2042355407
645	0.2042309869
646	0.2042262874
647	0.2042183117
648	0.2042132588
649	0.2042058696
650	0.2041975711
651	0.2041919191
652	0.2041850959
653	0.2041807242
654	0.2041733582
655	0.2041663733
656	0.2041598259
657	0.2041503514
658	0.2041432684
659	0.2041392962
660	0.2041325386
661	0.2041264728
662	0.2041223912
663	0.2041197857
664	0.2041185088
665	0.2041134764
666	0.2041086728
667	0.2041034606
668	0.2040972277
669	0.2040913546
670	0.2040839796
671	0.2040808339
672	0.2040775687
673	0.2040723055
674	0.2040658227
675	0.2040607591
676	0.2040567975
677	0.2040548708
678	0.2040503484
679	0.2040422482
680	0.2040374812
681	0.2040314592
682	0.2040247618
683	0.2040186076
684	0.2040121062
685	0.2040064464
686	0.2040024281
687	0.2039975204
688	0.2039933442
689	0.2039866819
690	0.2039848995
691	0.2039792922
692	0.2039729285
693	0.2039712099
694	0.2039674493
695	0.2039623637
696	0.2039600164
697	0.2039554432
698	0.2039487511
699	0.2039440906
700	0.2039363656
701	0.2039313756
702	0.2039266512
703	0.2039200241
704	0.2039142204
705	0.2039124553
706	0.2039043898
707	0.2038986944
708	0.2038947738
709	0.2038892556
710	0.2038843442
711	0.2038770195
712	0.2038703412
713	0.2038658703
714	0.2038631901
715	0.2038582565
716	0.2038535835
717	0.2038470538
